SampleId;species;individualsPerMl
KanaalplasDeMaat_19jun13;Aulacoseira_cf_italica_narrow_colonies;90,16083503
Blokkersdijk_7may08;flagellaat_3to5_µm_1;89,71611331
Schulensmeer_19jun08;Anabaena_subcylindrica;88
Hazewinkel_23sep14;coccaal_sp;87,7252266
Schulensmeer_22sep08;Nitzschia_acicularis;87,22399905
Schulensmeer_22sep08;Desmodesmus_quadricauda;87,22399905
Schulensmeer_19jun08;Monoraphidium_komarkovae;87,22399905
Vinne_22sep08;Spermatozopsis_exsultans;87,22399905
Schulensmeer_22sep08;Codosiga_botrytis;87,22399905
Vinne_22sep08;Mallomonas_sp;87,22399905
Schulensmeer_22sep08;Cryptomonas_marssonii;87,22399905
Vinne_22sep08;Cryptomonas_ovata;87,22399905
Schulensmeer_19jun08;Cryptomonas_phaseolus;87,22399905
Schulensmeer_19jun08;Mersimopedia_sp;87,22399905
Vinne_22sep08;Peridinium_sp;87,22399905
Schulensmeer_22sep08;Trachelomonas_varians;87,22399905
Hazewinkel_29jul14;Katablepharis_ovalis;86,42538876
GroteVijverMechelen_27jun08;Chroomonas_acuta;86,14715956
KanaalplasDeMaat_16apr13;Chlamydomonas_sp;86,11092139
Vinne_25apr08;Nitzschia_sp;85,44391744
KanaalplasDeMaat_17sep13;Rhodomonas_lacustris;84,54526827
Schulensmeer_29may08;flagellaat_5to10_µm;83,42394806
Vinne_25apr08;Cryptomonas_erosa;82,2793279
Hazewinkel_20may14;coccaal_sp;82,24239994
Hazewinkel_7oct14;Katablepharis_ovalis;82,24239994
Vinne_14jul08;Chlamydomonas_sp;81,40906578
Vinne_14jul08;Trachelomonas_volvocina;81,40906578
RauwseMeer_19jun13;Pseudokephyrion_conicum;79,84830892
RauwseMeer_21may13;Fragillaria_crotonensis_colonies;79,79752066
Vinne_25apr08;flagellaat_3to5_µm_1;79,11473837
Vinne_19jun08;Chroomonas_nordstedtii;77,5324436
KanaalplasDeMaat_16apr13;Aulacoseira_cf_italica_narrow_cells;77,49982925
KanaalplasDeMaat_16apr13;Chrysococcus_rufescens;77,49982925
Schulensmeer_24oct08;Cryptomonas_marssonii;76,42483727
Hazewinkel_29jul14;Coenochloris_pyrenoidosa_cells;75,30117096
KanaalplasDeMaat_24oct13;Cryptomonas_erosa;75,15134957
RauwseMeer_19jun13;Coenochloris_pyrenoidosa_cells;73,42967851
Hazewinkel_26aug14;Ankyra_judayi;73,1043555
